taudit_rule_id,arxiv_weakness,upstream_raw_weakness,benchmark_scope,enabled_by_default,mapping_status,rationale,evidence
authority_propagation,SEW,SEW,gha_default,yes,proposed,Authority reaching a lower-trust step is treated as secret or token exposure for the benchmark,docs/rules/authority_propagation.md
over_privileged_identity,EPW,EPW,gha_default,yes,proposed,Broad or unknown GITHUB_TOKEN authority matches excessive permission weakness,docs/rules/over_privileged_identity.md
unpinned_action,UDW,UDW,gha_default,yes,proposed,Mutable action references match unpinned dependency weakness,docs/rules/unpinned_action.md
oidc_identity_in_untrusted_context,PTW,TMW,gha_default,yes,needs_author_review,Untrusted trigger context can mint privileged OIDC identity,taudit explain oidc_identity_in_untrusted_context
action_major_version_pin_without_sha,UDW,UDW,gha_default,yes,proposed,Major-version action pin remains mutable and unpinned to a digest,taudit explain action_major_version_pin_without_sha
known_compromised_action_ref,KVCW,KVCW,gha_default,yes,proposed,Known compromised action family maps to vulnerable component weakness,taudit explain known_compromised_action_ref
untrusted_with_authority,SEW,SEW,gha_default,yes,proposed,Untrusted step with secrets or identity is secret or token exposure,docs/rules/untrusted_with_authority.md
artifact_boundary_crossing,AIW,AIW,gha_default,yes,proposed,Artifact crosses trust boundary without integrity evidence,docs/rules/artifact_boundary_crossing.md
floating_image,UDW,UDW,gha_default,yes,proposed,Container image without digest pin is an unpinned dependency,docs/rules/floating_image.md
long_lived_credential,SEW,SEW,gha_default,yes,proposed,Long-lived secret-shaped credential exposure fits secret weakness,docs/rules/long_lived_credential.md
persisted_credential,SEW,SEW,gha_default,yes,proposed,Checkout credential persistence exposes repository token material,docs/rules/persisted_credential.md
trigger_context_mismatch,PTW,TMW,gha_default,yes,proposed,Privileged workflow under PR context matches privileged trigger weakness,docs/rules/trigger_context_mismatch.md
cross_workflow_authority_chain,PTW,TMW,gha_default,yes,needs_author_review,Authority-bearing workflow delegation is closest to privileged trigger and workflow-control weakness,docs/rules/cross_workflow_authority_chain.md
authority_cycle,CFW,CFW,gha_default,yes,needs_author_review,Delegation cycle is a workflow control-flow weakness rather than a direct secret finding,docs/rules/authority_cycle.md
uplift_without_attestation,HGW,HGW,gha_default,yes,needs_author_review,Missing provenance attestation is a hardening gap for privileged builds,docs/rules/uplift_without_attestation.md
self_mutating_pipeline,IW,IW,gha_default,yes,proposed,GITHUB_ENV or GITHUB_PATH mutation is pipeline injection,docs/rules/self_mutating_pipeline.md
checkout_self_pr_exposure,PTW,TMW,gha_default,yes,proposed,PR-triggered checkout of attacker code under authority matches privileged trigger exposure,docs/rules/checkout_self_pr_exposure.md
secrets_inherit_overscoped_passthrough,PTW,TMW,gha_default,yes,proposed,Reusable workflow inherits secrets from attacker-influenced trigger,docs/rules/secrets_inherit_overscoped_passthrough.md
unsafe_pr_artifact_in_workflow_run_consumer,AIW,AIW,gha_default,yes,proposed,PR artifact consumed by privileged workflow is artifact integrity weakness,docs/rules/unsafe_pr_artifact_in_workflow_run_consumer.md
runtime_script_fetched_from_floating_url,UDW,UDW,gha_default,yes,proposed,Remote script fetched from mutable URL is unpinned dependency execution,docs/rules/runtime_script_fetched_from_floating_url.md
docker_socket_exposed_to_ci_step,GRCW,GRCW,gha_default,yes,needs_author_review,Host Docker socket exposure is runner/container compatibility and isolation risk,taudit explain docker_socket_exposed_to_ci_step
privileged_container_in_ci_step,GRCW,GRCW,gha_default,yes,needs_author_review,Privileged container execution is runner/container compatibility and isolation risk,taudit explain privileged_container_in_ci_step
pr_trigger_with_floating_action_ref,PTW,TMW,gha_default,yes,proposed,PR authority combined with mutable action is a privileged trigger chain,docs/rules/pr_trigger_with_floating_action_ref.md
untrusted_api_response_to_env_sink,IW,IW,gha_default,yes,proposed,Untrusted API data written to GITHUB_ENV is injection,docs/rules/untrusted_api_response_to_env_sink.md
pr_build_pushes_image_with_floating_credentials,PTW,TMW,gha_default,yes,proposed,PR build reaches publish credentials under attacker influence,docs/rules/pr_build_pushes_image_with_floating_credentials.md
secret_via_env_gate_to_untrusted_consumer,SEW,SEW,gha_default,yes,proposed,Secret is laundered through environment state to untrusted consumer,docs/rules/secret_via_env_gate_to_untrusted_consumer.md
no_workflow_level_permissions_block,EPW,EPW,gha_default,yes,proposed,Missing permissions block leaves token scope broad or unknown,docs/rules/no_workflow_level_permissions_block.md
long_lived_secret_without_oidc_recommendation,HGW,HGW,gha_default,yes,needs_author_review,Absence of OIDC migration is a hardening gap around long-lived secrets,docs/rules/long_lived_secret_without_oidc_recommendation.md
pull_request_workflow_inconsistent_fork_check,CFW,CFW,gha_default,yes,needs_author_review,Inconsistent fork guard is workflow control-flow hardening drift,docs/rules/pull_request_workflow_inconsistent_fork_check.md
risky_trigger_with_authority,PTW,TMW,gha_default,yes,proposed,High-blast-radius trigger paired with authority is privileged trigger weakness,docs/rules/risky_trigger_with_authority.md
sensitive_value_in_job_output,SEW,SEW,gha_default,yes,proposed,Secret or OIDC value in job output is secret exposure,docs/rules/sensitive_value_in_job_output.md
manual_dispatch_input_to_url_or_command,IW,IW,gha_default,yes,proposed,Manual input flows to command or URL sink and enables injection,docs/rules/manual_dispatch_input_to_url_or_command.md
script_injection_via_untrusted_context,IW,IW,gha_default,yes,proposed,Untrusted context expression interpolates into shell,docs/rules/script_injection_via_untrusted_context.md
interactive_debug_action_in_authority_workflow,SEW,SEW,gha_default,yes,proposed,Interactive debug with authority creates secret exposure path,docs/rules/interactive_debug_action_in_authority_workflow.md
pr_specific_cache_key_in_default_branch_consumer,AIW,AIW,gha_default,yes,proposed,PR-controlled cache key crosses into default-branch consumer,docs/rules/pr_specific_cache_key_in_default_branch_consumer.md
gh_cli_with_default_token_escalating,EPW,EPW,gha_default,yes,proposed,Default GITHUB_TOKEN performs write-class operation,docs/rules/gh_cli_with_default_token_escalating.md
gha_script_injection_to_privileged_shell,IW,IW,gha_default,yes,proposed,Untrusted GitHub context reaches privileged shell script,docs/rules/gha_script_injection_to_privileged_shell.md
gha_workflow_run_artifact_poisoning_to_privileged_consumer,AIW,AIW,gha_default,yes,proposed,workflow_run artifact is interpreted by privileged consumer,docs/rules/gha_workflow_run_artifact_poisoning_to_privileged_consumer.md
gha_remote_script_in_authority_job,UDW,UDW,gha_default,yes,proposed,Mutable remote script executes inside authority-bearing job,docs/rules/gha_remote_script_in_authority_job.md
gha_pat_remote_url_write,SEW,SEW,gha_default,yes,proposed,Token material embedded in remote URL during write operation,docs/rules/gha_pat_remote_url_write.md
gha_workflow_run_artifact_metadata_to_privileged_api,AIW,AIW,gha_candidate,no,proposed,workflow_run artifact metadata reaches privileged API,docs/rules/gha_workflow_run_artifact_metadata_to_privileged_api.md
gha_workflow_run_artifact_report_to_pr_comment,AIW,AIW,gha_candidate,no,needs_author_review,workflow_run artifact report reaches privileged PR comment path,docs/rules/gha_workflow_run_artifact_report_to_pr_comment.md
gha_workflow_run_artifact_to_build_scan_publish,AIW,AIW,gha_candidate,no,proposed,workflow_run artifact reaches build scan or publish path,docs/rules/gha_workflow_run_artifact_to_build_scan_publish.md
gha_floating_remote_script_before_publish_sink,UDW,UDW,gha_candidate,no,proposed,Mutable remote script runs before publish sink,docs/rules/gha_floating_remote_script_before_publish_sink.md
gha_token_remote_url_with_trace_or_process_exposure,SEW,SEW,gha_candidate,no,proposed,Token appears in remote URL with trace or process exposure,docs/rules/gha_token_remote_url_with_trace_or_process_exposure.md
gha_env_credential_helper_config_redirect_before_authority,IW,IW,gha_default,yes,proposed,Credential-helper config redirection before authority is environment injection,docs/rules/gha_env_credential_helper_config_redirect_before_authority.md
gha_env_node_options_code_injection_before_node_authority,IW,IW,gha_default,yes,proposed,NODE_OPTIONS startup injection precedes authority-bearing Node execution,docs/rules/gha_env_node_options_code_injection_before_node_authority.md
gha_env_dyld_or_ld_library_path_before_credential_helper,IW,IW,gha_default,yes,proposed,Dynamic-loader environment injection precedes credential helper,docs/rules/gha_env_dyld_or_ld_library_path_before_credential_helper.md
gha_workflow_call_container_image_input_secrets_inherit,PTW,TMW,gha_default,yes,proposed,Caller-controlled reusable workflow input combines with inherited secrets,docs/rules/gha_workflow_call_container_image_input_secrets_inherit.md
gha_workflow_call_runner_label_input_privilege_escalation,PTW,TMW,gha_default,yes,proposed,Caller-controlled runner label combines with authority,docs/rules/gha_workflow_call_runner_label_input_privilege_escalation.md
gha_container_image_attacker_influenced_with_secret_env,UDW,UDW,gha_default,yes,needs_author_review,Attacker-influenced container image is treated as mutable dependency surface,docs/rules/gha_container_image_attacker_influenced_with_secret_env.md
gha_attestation_subject_digest_from_step_output_unverified,AIW,AIW,gha_default,yes,proposed,Attestation subject digest comes from mutable output state,docs/rules/gha_attestation_subject_digest_from_step_output_unverified.md
gha_attestation_subject_path_workspace_glob_with_pr_trigger,AIW,AIW,gha_default,yes,proposed,PR-reachable workspace subject path weakens artifact integrity,docs/rules/gha_attestation_subject_path_workspace_glob_with_pr_trigger.md
gha_attestation_config_driven_gate_from_workspace_file,AIW,AIW,gha_default,yes,proposed,Attestation gate driven by workspace state weakens artifact integrity,docs/rules/gha_attestation_config_driven_gate_from_workspace_file.md
gha_telemetry_pr_or_issue_text_to_external_sink,out_of_scope,out_of_scope,gha_default,yes,needs_author_review,Telemetry of untrusted text is not one of the paper taxonomy classes,docs/rules/gha_telemetry_pr_or_issue_text_to_external_sink.md
gha_telemetry_debug_flag_with_secret_env,SEW,SEW,gha_default,yes,proposed,Debug logging with secrets present exposes secret material,docs/rules/gha_telemetry_debug_flag_with_secret_env.md
gha_telemetry_autonomous_agent_input_from_untrusted_event,IW,IW,gha_default,yes,needs_author_review,Untrusted event text becomes autonomous-agent input near write authority,docs/rules/gha_telemetry_autonomous_agent_input_from_untrusted_event.md
gha_workflow_run_artifact_to_blob_storage_token,AIW,AIW,gha_default,yes,proposed,workflow_run artifact flows to blob storage under token authority,docs/rules/gha_workflow_run_artifact_to_blob_storage_token.md
gha_api_workflow_run_artifact_to_autonomous_agent_to_git_push,AIW,AIW,gha_default,yes,needs_author_review,workflow_run artifact drives agent before git or API mutation,docs/rules/gha_api_workflow_run_artifact_to_autonomous_agent_to_git_push.md
gha_manifest_npm_lifecycle_hook_pr_trigger_with_token,IW,IW,gha_default,yes,proposed,PR-reachable npm lifecycle script runs with authority,docs/rules/gha_manifest_npm_lifecycle_hook_pr_trigger_with_token.md
gha_manifest_python_m_build_with_pr_credentials,IW,IW,gha_default,yes,proposed,PR-reachable Python build runs with publish credentials,docs/rules/gha_manifest_python_m_build_with_pr_credentials.md
gha_manifest_cargo_build_rs_pull_request_with_token,IW,IW,gha_default,yes,proposed,PR-reachable build.rs executes with token authority,docs/rules/gha_manifest_cargo_build_rs_pull_request_with_token.md
gha_manifest_makefile_with_pr_trigger_and_secrets,IW,IW,gha_default,yes,proposed,PR or workflow_run make execution reaches secret authority,docs/rules/gha_manifest_makefile_with_pr_trigger_and_secrets.md
gha_manifest_submodules_recursive_with_pr_authority,UDW,UDW,gha_default,yes,needs_author_review,Recursive submodules are dependency material controlled by PR-reachable source,docs/rules/gha_manifest_submodules_recursive_with_pr_authority.md
gha_crossrepo_workflow_call_floating_ref_cascade,UDW,UDW,gha_default,yes,proposed,Cross-repo reusable workflow uses mutable ref,docs/rules/gha_crossrepo_workflow_call_floating_ref_cascade.md
gha_crossrepo_secrets_inherit_unreviewed_callee,PTW,TMW,gha_default,yes,proposed,Cross-repo reusable workflow inherits caller secrets,docs/rules/gha_crossrepo_secrets_inherit_unreviewed_callee.md
gha_issue_comment_command_to_write_token,PTW,TMW,gha_default,yes,proposed,Issue comment trigger input reaches write-token command sink,docs/rules/gha_issue_comment_command_to_write_token.md
gha_pr_build_pushes_publishable_image,PTW,TMW,gha_default,yes,proposed,PR-triggered build publishes image under authority,docs/rules/gha_pr_build_pushes_publishable_image.md
gha_manual_dispatch_ref_to_privileged_checkout,IW,IW,gha_default,yes,needs_author_review,Manual dispatch input controls checkout ref and can pivot to command execution,docs/rules/gha_manual_dispatch_ref_to_privileged_checkout.md
homoglyph_in_action_ref,UDW,UDW,gha_default,yes,needs_author_review,Confusable action reference is dependency identity weakness,docs/rules/homoglyph_in_action_ref.md
gha_helper_path_sensitive_argv,SEW,SEW,gha_default,yes,proposed,Sensitive argv reaches PATH-selected helper,docs/rules/gha_helper_path_sensitive_argv.md
gha_helper_path_sensitive_stdin,SEW,SEW,gha_default,yes,proposed,Sensitive stdin reaches PATH-selected helper,docs/rules/gha_helper_path_sensitive_stdin.md
gha_helper_path_sensitive_env,SEW,SEW,gha_default,yes,proposed,Sensitive environment reaches PATH-selected helper,docs/rules/gha_helper_path_sensitive_env.md
gha_post_ambient_env_cleanup_path,IW,IW,gha_default,yes,needs_author_review,Post cleanup path can be retargeted by environment mutation,docs/rules/gha_post_ambient_env_cleanup_path.md
gha_action_minted_secret_to_helper,SEW,SEW,gha_default,yes,proposed,Action-minted credential is delegated to helper,docs/rules/gha_action_minted_secret_to_helper.md
gha_helper_untrusted_path_resolution,IW,IW,gha_default,yes,proposed,Sensitive helper resolution after path mutation is injection,docs/rules/gha_helper_untrusted_path_resolution.md
gha_secret_output_after_helper_login,SEW,SEW,gha_default,yes,proposed,Login action exposes helper credential outputs,docs/rules/gha_secret_output_after_helper_login.md
later_secret_materialized_after_path_mutation,SEW,SEW,gha_default,yes,proposed,Secret appears after path mutation and reaches helper surface,docs/rules/later_secret_materialized_after_path_mutation.md
gha_setup_node_cache_helper_path_handoff,AIW,AIW,gha_default,yes,needs_author_review,Package-manager cache helper handoff is cache/artifact integrity surface,docs/rules/gha_setup_node_cache_helper_path_handoff.md
gha_setup_python_cache_helper_path_handoff,AIW,AIW,gha_default,yes,needs_author_review,Python cache helper handoff is cache/artifact integrity surface,docs/rules/gha_setup_python_cache_helper_path_handoff.md
gha_setup_python_pip_install_authority_env,SEW,SEW,gha_default,yes,needs_author_review,pip install mode inherits ambient authority and credential environment,docs/rules/gha_setup_python_pip_install_authority_env.md
gha_docker_setup_qemu_privileged_docker_helper,GRCW,GRCW,gha_default,yes,needs_author_review,setup-qemu privileged Docker helper is runner/container compatibility risk,docs/rules/gha_docker_setup_qemu_privileged_docker_helper.md
gha_setup_go_cache_helper_path_handoff,AIW,AIW,gha_default,yes,needs_author_review,Go cache helper handoff is cache/artifact integrity surface,docs/rules/gha_setup_go_cache_helper_path_handoff.md
gha_tool_installer_then_shell_helper_authority,IW,IW,gha_default,yes,needs_author_review,Installed helper is later invoked from shell with authority,docs/rules/gha_tool_installer_then_shell_helper_authority.md
gha_workflow_shell_authority_concentration,EPW,EPW,gha_default,yes,needs_author_review,Shell concentrates publish or deploy authority in one execution surface,docs/rules/gha_workflow_shell_authority_concentration.md
gha_action_token_env_before_bare_download_helper,SEW,SEW,gha_default,yes,proposed,Token-bearing action resolves download helper after path mutation,docs/rules/gha_action_token_env_before_bare_download_helper.md
gha_post_action_input_retarget_to_cache_save,AIW,AIW,gha_default,yes,proposed,Cache post-save can be retargeted by later mutation,docs/rules/gha_post_action_input_retarget_to_cache_save.md
gha_terraform_wrapper_sensitive_output,SEW,SEW,gha_default,yes,proposed,Terraform wrapper sensitive output is consumed later,docs/rules/gha_terraform_wrapper_sensitive_output.md
gha_composite_bare_helper_after_path_install_with_secret_env,IW,IW,gha_default,yes,proposed,Bare helper executes after path mutation with secret environment,docs/rules/gha_composite_bare_helper_after_path_install_with_secret_env.md
gha_pulumi_path_resolved_cli_with_authority,SEW,SEW,gha_default,yes,needs_author_review,Pulumi authority reaches PATH-resolved helper,docs/rules/gha_pulumi_path_resolved_cli_with_authority.md
gha_pypi_publish_oidc_after_path_mutation,SEW,SEW,gha_default,yes,needs_author_review,PyPI publish and OIDC authority follow path mutation,docs/rules/gha_pypi_publish_oidc_after_path_mutation.md
gha_changesets_publish_command_with_authority,SEW,SEW,gha_default,yes,needs_author_review,Package publish authority reaches command helper,docs/rules/gha_changesets_publish_command_with_authority.md
gha_rubygems_release_git_token_and_oidc_helper,SEW,SEW,gha_default,yes,needs_author_review,RubyGems release authority reaches helper surface,docs/rules/gha_rubygems_release_git_token_and_oidc_helper.md
gha_composite_entrypoint_path_shadow_with_secret_env,IW,IW,gha_default,yes,proposed,Composite entrypoint can be shadowed after path mutation with secrets,docs/rules/gha_composite_entrypoint_path_shadow_with_secret_env.md
gha_docker_buildx_authority_path_handoff,GRCW,GRCW,gha_default,yes,needs_author_review,Docker Buildx authority reaches helper after path mutation,docs/rules/gha_docker_buildx_authority_path_handoff.md
gha_google_deploy_gcloud_credential_path,SEW,SEW,gha_default,yes,proposed,Google deploy credential reaches path-resolved gcloud,docs/rules/gha_google_deploy_gcloud_credential_path.md
gha_datadog_test_visibility_installer_authority,SEW,SEW,gha_default,yes,needs_author_review,Datadog API key authority reaches installer helper,docs/rules/gha_datadog_test_visibility_installer_authority.md
gha_kubernetes_helper_kubeconfig_authority,SEW,SEW,gha_default,yes,proposed,Kubeconfig authority reaches helper after path mutation,docs/rules/gha_kubernetes_helper_kubeconfig_authority.md
gha_azure_companion_helper_authority,SEW,SEW,gha_default,yes,proposed,Azure credential authority reaches companion helper,docs/rules/gha_azure_companion_helper_authority.md
gha_create_pr_git_token_path_handoff,SEW,SEW,gha_default,yes,proposed,create-pull-request delegates token authority to git helper,docs/rules/gha_create_pr_git_token_path_handoff.md
gha_import_gpg_private_key_helper_path,SEW,SEW,gha_default,yes,proposed,GPG private key material reaches helper path,docs/rules/gha_import_gpg_private_key_helper_path.md
gha_ssh_agent_private_key_to_path_helper,SEW,SEW,gha_default,yes,proposed,SSH private key material reaches helper path,docs/rules/gha_ssh_agent_private_key_to_path_helper.md
gha_macos_codesign_cert_security_path,SEW,SEW,gha_default,yes,proposed,macOS signing certificate authority reaches security helper,docs/rules/gha_macos_codesign_cert_security_path.md
gha_pages_deploy_token_url_to_git_helper,SEW,SEW,gha_default,yes,proposed,Pages deploy token URL authority reaches git helper,docs/rules/gha_pages_deploy_token_url_to_git_helper.md
gha_toolcache_absolute_path_downgrade,out_of_scope,out_of_scope,gha_default,yes,proposed,Precision guard only and not a standalone benchmark weakness,docs/rules/gha_toolcache_absolute_path_downgrade.md
gha_crossforge_mirror_checkout_with_token_push,out_of_scope,out_of_scope,gha_candidate,no,needs_author_review,Cross-forge repository mutation boundary is not a direct paper taxonomy class,docs/rules/gha_crossforge_mirror_checkout_with_token_push.md
gha_crossrepo_org_credential_multiplexing,PTW,TMW,gha_candidate,no,needs_author_review,Shared reusable workflow authority multiplexes caller credentials across privileged consumers,docs/rules/gha_crossrepo_org_credential_multiplexing.md
gha_identity_cosign_certificate_identity_repo_only_no_ref,AIW,AIW,gha_candidate,no,needs_author_review,Verifier accepts repo-scoped identity without ref binding for artifact attestation,docs/rules/gha_identity_cosign_certificate_identity_repo_only_no_ref.md
gha_runner_lifecycle_self_hosted_pr_no_isolation,GRCW,GRCW,gha_candidate,no,needs_author_review,Self-hosted PR runner without isolation is runner compatibility and isolation risk,docs/rules/gha_runner_lifecycle_self_hosted_pr_no_isolation.md
gha_temporal_oidc_freshness_across_multistep_build,HGW,HGW,gha_candidate,no,needs_author_review,OIDC token freshness across long builds is a hardening gap around identity use,docs/rules/gha_temporal_oidc_freshness_across_multistep_build.md
gha_verifier_gh_attestation_missing_source_digest_check,AIW,AIW,gha_candidate,no,needs_author_review,Attestation verifier lacks local source digest binding for artifact integrity,docs/rules/gha_verifier_gh_attestation_missing_source_digest_check.md
